Species,Turbines density,WPD-NoTurbine density,Patagonia,Center SAm,Caribbean
Xenoglaux loweryi,0,0,0,0,0
Xenoligea montana,22,1,0,0,1
Xenospiza baileyi,41,0,0,0,0
Xiphocolaptes falcirostris,294,1,0,0,0
Xipholena atropurpurea,33,1,0,0,0
Xiphorhynchus atlanticus,316,1,0,0,0
Xolmis dominicanus,52,1,0,1,0
Zaratornis stresemanni,0,1,0,0,0
Zentrygon carrikeri,0,1,0,0,1
Zimmerius cinereicapilla,0,0,0,0,0
